complex_id,set_id,cluster,ligand,start_mode,final_mode,binding_class,binding_class_label,contact_type,strongest_contact_distance,CN_eff,mode_survival_status,exchange_survival_status,water_competition_status,SMD_contact_preserved_yes_no,BE_gas_kcal,BE_smd_kcal,exchange_h2o_kcal,n_imag,min_freq_cm1,normal_termination,cluster_fragmented,notes,timestamp_utc
cui2_guaiacol_bidentate_anion,B,[CuI2]-,guaiacol,bidentate,2+1 hemicoordinated,E,NON_BINDING,Cu-O,1.8467,3.0,COLLAPSED_TO_2+1_HEMICOORDINATED,unfavorable,outcompeted_by_water,N/A,167.44,,177.87,0,,True,False,RECLASSIFIED_E: nonphysical BE>+100 kcal/mol (SCF/optimization artifact),20260430T113509Z
cui2_guaiacol_methoxyO_anion,B,[CuI2]-,guaiacol,methoxy-O,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,173.15,,183.58,0,,True,False,RECLASSIFIED_E: nonphysical BE>+100 kcal/mol (SCF/optimization artifact),20260430T113509Z
cui2_guaiacol_phenolicO_anion,B,[CuI2]-,guaiacol,phenolic-O,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-5.37,,5.06,0,,True,False,,20260430T113509Z
cui2_guaiacol_pi_anion,B,[CuI2]-,guaiacol,pi,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-2.92,,7.51,0,,True,False,,20260430T113509Z
cui2_h2o_anion,B,[CuI2]-,h2o,water-bound,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-10.43,-4.21,,0,,True,False,,20260430T113509Z
cui2_methanol_anion,B,[CuI2]-,methanol,O-monodentate,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-7.83,,2.6,0,,True,False,,20260430T113509Z
cui2_phenol_O_anion,B,[CuI2]-,phenol,phenolic-O,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-11.56,,-1.13,0,,True,False,,20260430T113509Z
cui2_phenol_pi_anion,B,[CuI2]-,phenol,pi,2-coordinate,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-5.67,,4.76,0,,True,False,,20260430T113509Z
cu2i2_guaiacol_bidentate,C,Cu2I2,guaiacol,bidentate,bidentate,A,STRONG_BINDING,Cu-bidentate,2.2207,2.4,SURVIVED,neutral,competitive,N/A,-17.86,-17.81,1.63,0,,True,False,v9 fill-in 2026-04-30: BE_smd computed from canonical SMD-level energies (E_complex_smd=-4298.505632855098 + E_cluster_smd=-3876.522610450172 in CU2I2_BINDING_TABLE.csv + E_ligand_smd=-421.954641717134 in ORCA_BINDING_ENERGIES.csv smd row). See V9_GUAIACOL_BIDENTATE_RESOLUTION.md and MANUSCRIPT_IMPACT_v8_to_v9.md §15g.,20260430T113509Z
cu2i2_guaiacol_methoxyO,C,Cu2I2,guaiacol,methoxy-O,O-monodentate,E,NON_BINDING,Cu-O,2.1252,2.7,SURVIVED,unfavorable,outcompeted_by_water,N/A,172.67,,192.16,0,,True,False,RECLASSIFIED_E: nonphysical BE>+100 kcal/mol (SCF/optimization artifact),20260430T113509Z
cu2i2_guaiacol_phenolicO,C,Cu2I2,guaiacol,phenolic-O,bidentate,E,NON_BINDING,Cu-bidentate,2.0662,2.7,FRAGMENTED,N/A,N/A,N/A,-23.39,,-3.89,0,,True,True,,20260430T113509Z
cu2i2_guaiacol_pi,C,Cu2I2,guaiacol,pi,detached,E,NON_BINDING,Cu-π,2.5439,2.0,COLLAPSED_TO_DETACHED,unfavorable,outcompeted_by_water,N/A,-15.53,,3.96,0,,True,False,,20260430T113509Z
cu2i2_h2o,C,Cu2I2,h2o,water-bound,O-monodentate,A,STRONG_BINDING,Cu-O,1.9732,2.0,SURVIVED,N/A,N/A,yes,-19.5,-16.68,,0,,True,False,,20260430T113509Z
cu2i2_methanol,C,Cu2I2,methanol,O-monodentate,O-monodentate,A,STRONG_BINDING,Cu-O,2.0605,3.0,SURVIVED,neutral,competitive,N/A,-18.66,,0.84,0,,True,False,,20260430T113509Z
cu2i2_phenol_O,C,Cu2I2,phenol,phenolic-O,O-monodentate,A,STRONG_BINDING,Cu-O,2.0566,3.0,SURVIVED,unfavorable,outcompeted_by_water,N/A,-16.48,,3.02,0,,True,False,,20260430T113509Z
cu2i2_phenol_pi,C,Cu2I2,phenol,pi,detached,E,NON_BINDING,none,,2.0,DETACHED,N/A,N/A,N/A,-16.73,,2.77,0,,True,False,,20260430T113509Z
cu_anisole_methoxyO,TIER_A,Cu+ (naked),anisole_methoxyO,,,A,STRONG_BINDING,Cu-O,1.9340,1.0,TIER_A_OPT,N/A,N/A,yes,-48.78,-20.54,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_anisole_pi,TIER_A,Cu+ (naked),anisole_pi,,,A,STRONG_BINDING,Cu-pi,2.0398,1.0,TIER_A_OPT,N/A,N/A,yes,-60.15,-27.44,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_benzene_pi,TIER_A,Cu+ (naked),benzene_pi,,,A,STRONG_BINDING,Cu-pi,2.3996,1.0,TIER_A_OPT,N/A,N/A,yes,-54.44,-23.88,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_catechol_bidentate,TIER_A,Cu+ (naked),catechol_bidentate,,,A,STRONG_BINDING,Cu-O,1.9246,1.0,TIER_A_OPT,N/A,N/A,yes,-33.41,-15.64,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_catechol_pi,TIER_A,Cu+ (naked),catechol_pi,,,A,STRONG_BINDING,Cu-pi,2.1317,1.0,TIER_A_OPT,N/A,N/A,yes,-59.78,-28.08,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_cyclohexanol_O,TIER_A,Cu+ (naked),cyclohexanol_O,,,A,STRONG_BINDING,Cu-O,1.9494,1.0,TIER_A_OPT,N/A,N/A,yes,-58.13,-27.24,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_galacturonateH_complex,TIER_A,Cu+ (naked),galacturonateH_complex,,,A,STRONG_BINDING,Cu-O,1.8836,1.0,TIER_A_OPT,N/A,N/A,yes,-50.10,-22.73,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_galacturonate_anion_complex,TIER_A,Cu+ (naked),galacturonate_anion_complex,,,A,STRONG_BINDING,Cu-O,2.0830,1.0,TIER_A_OPT,N/A,N/A,yes,-185.70,-37.91,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_guaiacol_methoxyO,TIER_A,Cu+ (naked),guaiacol_methoxyO,,,A,STRONG_BINDING,Cu-O,2.0075,1.0,TIER_A_OPT,N/A,N/A,yes,-54.48,-20.94,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_guaiacol_phenolicO,TIER_A,Cu+ (naked),guaiacol_phenolicO,,,B,MODERATE_BINDING,Cu-O,2.5360,1.0,TIER_A_OPT,N/A,N/A,yes,-28.52,-8.00,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_guaiacol_pi,TIER_A,Cu+ (naked),guaiacol_pi,,,A,STRONG_BINDING,Cu-pi,2.1052,1.0,TIER_A_OPT,N/A,N/A,yes,-62.17,-28.48,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_meta_methoxyphenol_phenolicO,TIER_A,Cu+ (naked),meta_methoxyphenol_phenolicO,,,D,METASTABLE_CONTACT,Cu-O,2.0000,1.0,TIER_A_OPT,N/A,N/A,yes,-12.35,5.37,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_meta_methoxyphenol_pi,TIER_A,Cu+ (naked),meta_methoxyphenol_pi,,,A,STRONG_BINDING,Cu-pi,2.0250,1.0,TIER_A_OPT,N/A,N/A,yes,-63.16,-27.53,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_methanol,TIER_A,Cu+ (naked),methanol,,,A,STRONG_BINDING,Cu-O,1.9248,1.0,TIER_A_OPT,N/A,N/A,yes,-47.50,-23.63,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_para_methoxyphenol_phenolicO,TIER_A,Cu+ (naked),para_methoxyphenol_phenolicO,,,A,STRONG_BINDING,Cu-O,1.9230,1.0,TIER_A_OPT,N/A,N/A,yes,-49.64,-19.32,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_para_methoxyphenol_pi,TIER_A,Cu+ (naked),para_methoxyphenol_pi,,,A,STRONG_BINDING,Cu-pi,2.1112,1.0,TIER_A_OPT,N/A,N/A,yes,-58.20,-26.32,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_phenol_O,TIER_A,Cu+ (naked),phenol_O,,,E,NON_BINDING,none,,1.0,TIER_A_OPT,N/A,N/A,yes,-51.44,-36.39,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu_phenol_pi,TIER_A,Cu+ (naked),phenol_pi,,,A,STRONG_BINDING,Cu-pi,2.0719,1.0,TIER_A_OPT,N/A,N/A,yes,-80.96,-52.20,,0,,True,False,naked Cu+; Tier A monomer adduct,20260430T113509Z
cu2i2_veratrole_methoxyO_startA,D_alt_v2,Cu2I2,veratrole,methoxy-O start A,"kappa2-O,O bidentate",A,STRONG_BINDING,Cu-bidentate,2.2030,,SURVIVED,N/A,N/A,yes,-26.82,-26.24,,0,12.41,True,False,"Set D V2 (Task #29 follow-up); Cu-O 2.20,2.20,4.32 A; Cu-C 3.00,3.00,3.13 A",20260430T113509Z
cu2i2_veratrole_methoxyO_startB,D_alt_v2,Cu2I2,veratrole,methoxy-O start B,Cu-pi (ring contact),D,METASTABLE_CONTACT,Cu-pi,1.9300,,METASTABLE,N/A,N/A,n/a,28.07,22.73,,0,22.02,True,False,"Set D V2 (Task #29 follow-up); Cu-O 2.64,3.33,4.00 A; Cu-C 1.93,2.74,2.87 A",20260430T113509Z
cui2_veratrole_methoxyO_anion_startA,D_alt_v2,[CuI2]-,veratrole,methoxy-O start A,detached,E,NON_BINDING,none,,,DETACHED,N/A,N/A,n/a,49.28,53.60,,0,22.58,True,False,"Set D V2 (Task #29 follow-up); Cu-O 3.70,5.36 A; Cu-C 3.21,3.54,3.92 A",20260430T113509Z
cui2_veratrole_methoxyO_anion_startB,D_alt_v2,[CuI2]-,veratrole,methoxy-O start B,Cu-pi (ring contact),D,METASTABLE_CONTACT,Cu-pi,1.9380,,METASTABLE,N/A,N/A,n/a,55.20,47.93,,0,28.97,True,False,"Set D V2 (Task #29 follow-up); Cu-O 2.69,3.30 A; Cu-C 1.94,2.78,2.89 A",20260430T113509Z
cu2i2_veratrole_pi,D,Cu2I2,veratrole,pi (η^n-arene start),η²-arene π (Cu over C=C edge),A,STRONG_BINDING,Cu-arene π,2.2400,,SURVIVED,N/A,N/A,yes,-22.98,-23.11,,0,,True,False,"η²-arene π anchor on neutral Cu2I2 (closest Cu-C=2.24/2.37 A; Cu-O closest=3.91 A confirms π not σ); Cu2I2 core preserved (Cu-Cu=2.478 A; Cu-I=2.499/2.501/2.700/2.710 A); complements cu2i2_veratrole_methoxyO_startA (κ²-O,O at BE_smd -26.24) as the second productive mode in the dual-channel framing on Cu2I2. Source .out recovered 2026-04-30T15:19Z from /workspace/results_setD/cu2i2_veratrole_pi_opt_freq.out on migrated pod motr7au0um7e8n; SHA-256 f2a9007b88dc7098f266224b8715c741653e75e1d547dafd4236b8b2584a8ff2.",20260430T151900Z
