job_id,mol_id,cluster,ligand,charge,mult,job_type,route_line,nprocs,maxcore,normal_termination,n_imag,min_freq_cm1,E_gas_Eh,E_smd_Eh,orca_version,n_opt_cycles,inp_sha256,out_sha256,out_path,timestamp_utc
h2o_opt_freq,h2o,,h2o,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,8,4000,True,0,0.0,-76.426631457256,,6.1.1,4,43687e9304fe45e29ac9bc69249bfa1f8f63cc2fbb0cf4f2190a47bc942d9fe4,3d41de481fe0ce764dd03f91e5d6852da84a7dab128ae00646cf32c7ad653580,/workspace/results_setA/h2o_opt_freq.out,2026-04-27T19:12:41Z
h2o_smd_sp,h2o,,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,8,4000,True,0,,-76.426631457256,-76.439616921394,6.1.1,0,d04d2d8c4c28e2b27ce3b8686b636afd455545aa3ea23137941055f6c7527735,e3e79f6a6544350e3982e0ac7f4e81677a723b7f92a51f0b0dc15934dbdda384,/workspace/results_setA/h2o_smd_sp.out,2026-04-27T19:12:46Z
cui_h2o_opt_freq,cui_h2o,CuI,h2o,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,8,4000,True,0,0.0,-2014.682195474239,,6.1.1,30,1c77884d9330f3616562f213986ed9d429508a90f990ea5c046b0367fe2aef4a,f9ba8a6e9c35c13af91a3fac9ec1e296d3ac2c17cb71105194e8077295a11349,/workspace/results_setA/cui_h2o_reopt1_opt_freq.out,2026-04-27T19:23:18Z
cui_h2o_smd_sp,cui_h2o,CuI,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,8,4000,True,0,,-2014.682195474239,-2014.710479879122,6.1.1,0,25f291f8f089b4e958ee16b02ec0c5f549c2804f8b768606979733c29f6531bb,0f0892919b835484f384d3856070da858f12ddebb2146f88f8e5bda13266825e,/workspace/results_setA/cui_h2o_smd_sp.out,2026-04-27T19:23:32Z
cui2_anion_opt_freq,cui2_anion,CuI2-,,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,0.0,-2236.113332245742,,6.1.1,5,fd094377b94a821873f8efec8fc0f0879e7b44e62c0ba5bb6b0b795f84055f55,bc20987add734253ac7a2c512493e646bd8a2d14bfc26e49da09ed9be91813c7,/workspace/results_setA/cui2_anion_opt_freq.out,2026-04-27T19:25:34Z
cui2_anion_smd_sp,cui2_anion,CuI2-,,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-2236.113332245742,-2236.178758935388,6.1.1,0,f68c650c8ae35a38edc50d0068eac31caf957fc689001fd2cddc28c2d03b7acf,9f3d86bee0bcdcd7ae10315e4bf758a6a77296c779c21264a4deb7eb76153afc,/workspace/results_setA/cui2_anion_smd_sp.out,2026-04-27T19:25:50Z
cui2_h2o_anion_smd_sp,cui2_h2o_anion,CuI2-,h2o,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-2312.556585221692,-2312.625087463535,6.1.1,0,81784071806fd0690c47259586ce52fc36d0c8e5132926605dba44505d7ded52,6c9af1de9307a89bbc02dc829313fe0373b7cb5525f9860150aacde849418656,/workspace/results_setA/cui2_h2o_anion_smd_sp.out,2026-04-27T19:37:47Z
cu2i2_rhombic_opt_freq,cu2i2_rhombic,Cu2I2,,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,4500,True,0,0.0,-3876.514404125674,,6.1.1,10,0c19159da987ba82d8e79c966afe38394cf140b131d587f2eed06127734fc77a,87472654d5c10b8043ca21d6a45451e859ff4cd702d3b86e7b044a50196c1a8e,/workspace/results_setA/cu2i2_rhombic_opt_freq.out,2026-04-27T19:43:19Z
cu2i2_rhombic_smd_sp,cu2i2_rhombic,Cu2I2,,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,4500,True,0,,-3876.514404125674,-3876.522610450172,6.1.1,0,7d9fd5f6b480a50aa4f090d07ad7c9b3980f41cc61fec07b8cc4428b7dd1641a,bd0c3bcd91c025a1ff6ca53ec4068ee7ed4e459d6d9e5095fa73f5a2317914b3,/workspace/results_setA/cu2i2_rhombic_smd_sp.out,2026-04-27T19:43:45Z
cu2i2_h2o_smd_sp,cu2i2_h2o,Cu2I2,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,4500,True,0,,-3952.972105730836,-3952.988815414994,6.1.1,0,b8fce2ad5023ceea2aef325248b0c90ebd80aab086eb44d6b9b3b9d06bff31f9,55af211ce3e065de3b45d8f3f410d25faa3ed4f6c5269e5f00572680354a3093,/workspace/results_setA/cu2i2_h2o_smd_sp.out,2026-04-27T20:27:34Z
cui2_h2o_anion_opt_freq,cui2_h2o_anion,CuI2-,h2o,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,0.0,-2312.556585221692,-2312.625087463535,6.1.1,38,2d6590608a38436061e1f263dbbc5d9408e8ef2ec5c2600f2497adae002f7151,2d6590608a38436061e1f263dbbc5d9408e8ef2ec5c2600f2497adae002f7151,/workspace/results_setB/cui2_h2o_anion_opt_freq.out,2026-04-27T20:27:34Z
cui2_methanol_anion_opt_freq,cui2_methanol_anion,CuI2-,methanol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,,-2351.838494732175,,6.1.1,50,d53e88774c9d2c6d39202779f942415af80fd5082ff7d96ae020072652577611,d46ef5f204c88f068357610f426e5584093a6f4567c554a4bf7eb86ed50a996a,/workspace/results_setB/cui2_methanol_anion_opt_freq.out,2026-04-27T20:45:17Z
cui2_methanol_anion_smd_sp,cui2_methanol_anion,CuI2-,methanol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-2351.838494732175,-2351.903953475025,6.1.1,0,9d080b8075e407f874b8f0a907261324de2b659d433f4dc7c4c292eb2c4368dc,67419df6a9a594621f8027a1bf1a36e37cd1a54f2288a8c1168f36a97c10283d,/workspace/results_setB/cui2_methanol_anion_smd_sp.out,2026-04-27T20:45:39Z
cui2_phenol_O_anion_opt_freq,cui2_phenol_O_anion,CuI2-,phenol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,20,5000,True,0,-7.43,-2543.561423134448,,6.1.1,40,e494e1d593a08fc62affee9607143b8989a98abeb1623c08147eba43d7928deb,c24dd42785d2a09729bd4096ccefd99b8f49caf19b19a257972a01c9545d34d9,/workspace/results_setB/cui2_phenol_O_anion_opt_freq.out,2026-04-27T21:23:33Z
cui2_phenol_O_anion_smd_sp,cui2_phenol_O_anion,CuI2-,phenol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,20,5000,True,0,,-2543.561423134448,-2543.62242674224,6.1.1,0,1c50e9028a9bbd7e97a2b90fafab75e86de7402e215bdbc540e53023d40b0537,192e097e5b933c919c8b2ed4a5d89b15288050ec775ee89da1f7357969e9489f,/workspace/results_setB/cui2_phenol_O_anion_smd_sp.out,2026-04-27T21:24:21Z
cui2_phenol_pi_anion_opt_freq,cui2_phenol_pi_anion,CuI2-,phenol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,20,5000,True,0,,-2543.552032357935,,6.1.1,50,2b36fc1a4964a3a1f8157e53fc22cdc87b2ebaa0b254aad67e5d01cc3533d233,6320b23d6d01c05f3233a62050ab1fd83835da979e02de119ee4d4b07a3088be,/workspace/results_setB/cui2_phenol_pi_anion_opt_freq.out,2026-04-27T22:12:51Z
cui2_phenol_pi_anion_smd_sp,cui2_phenol_pi_anion,CuI2-,phenol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,20,5000,True,0,,-2543.552032357935,-2543.618582025277,6.1.1,0,5dde5ef89a7d82e851f0edd7c7890eafe9237a29016d1696930b08e745e05d8c,95a22dad8de559a4b456f5e15e6d1e4af5d1950b53986460b366db0c0137d2f8,/workspace/results_setB/cui2_phenol_pi_anion_smd_sp.out,2026-04-27T22:13:42Z
cui2_guaiacol_phenolicO_anion_opt_freq,cui2_guaiacol_phenolicO_anion,CuI2-,guaiacol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-2658.070252151594,,6.1.1,60,2a533d48c83f634f74ca34d7ed962b6d37e698d0991cbd981f2ab8925c2bb295,7905ffd72f7bac55b610652f0f2ec86983084dc141a19057f2d1acb47bb68cbb,/workspace/results_setB/cui2_guaiacol_phenolicO_anion_opt_freq.out,2026-04-27T23:32:32Z
cui2_guaiacol_phenolicO_anion_smd_sp,cui2_guaiacol_phenolicO_anion,CuI2-,guaiacol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-2658.070252151594,-2658.130085088373,6.1.1,0,f3e2a8c68ef960972db00dfb5be0db825960749ec1a28c5d5b429f7bae4c0092,4e85a0945a50e3503566f3bcc46b97c9de2a88f518d0fc4ba99b5cf9f7ce7cf2,/workspace/results_setB/cui2_guaiacol_phenolicO_anion_smd_sp.out,2026-04-27T23:33:44Z
cui2_guaiacol_methoxyO_anion_opt_freq,cui2_guaiacol_methoxyO_anion,CuI2-,guaiacol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-2657.785762287076,,6.1.1,60,86c28f6e41cea4d1662377014895d48817788175fd57503b95af2e6d4f1e2899,ae0539e989de2e2e54c47c690512c4b4abd4ca116b2dbe775cfa25f7d55149a8,/workspace/results_setB/cui2_guaiacol_methoxyO_anion_opt_freq.out,2026-04-28T01:06:24Z
cui2_guaiacol_methoxyO_anion_smd_sp,cui2_guaiacol_methoxyO_anion,CuI2-,guaiacol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-2657.785762287076,-2657.861745098587,6.1.1,0,2567d5d065ed1c25d1f6d2354cd16f2305b882de75487b158e0568cb4c458a1a,16bb8b85b0f61d16980d3c1358fe6b09cb00d341b2312db3fbacdec831abcc69,/workspace/results_setB/cui2_guaiacol_methoxyO_anion_smd_sp.out,2026-04-28T01:07:39Z
cui2_guaiacol_pi_anion_opt_freq,cui2_guaiacol_pi_anion,CuI2-,guaiacol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-2658.066349851557,,6.1.1,60,aa070b56c6552afbaeeaa5bd74bae044cecb066ef57b1efd912d761c75c6cabe,6776ff6e26a359213e9fa2f5e010d205be69eb330537ae3faa0c58d60653acde,/workspace/results_setB/cui2_guaiacol_pi_anion_opt_freq.out,2026-04-28T02:29:25Z
cui2_guaiacol_pi_anion_smd_sp,cui2_guaiacol_pi_anion,CuI2-,guaiacol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-2658.066349851557,-2658.138364013019,6.1.1,0,a5327a66dd2c0145af82c75aa53811561ac979b6c4dde8b02c7209f771cdbee9,e9d4ba078eec2b85a4aca3e565af440a307a1f0da2b84ce2b1db8497930d7cb3,/workspace/results_setB/cui2_guaiacol_pi_anion_smd_sp.out,2026-04-28T02:30:42Z
cui2_guaiacol_bidentate_anion_opt_freq,cui2_guaiacol_bidentate_anion,CuI2-,guaiacol,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-2657.794869028995,,6.1.1,60,08aec93429f17804dfeef7e47107e60c9fec20547001bb7153859f918332d09c,f40b2a349fad9f5ce72441e87f14c65daa8bb4aef17f97a1176338587bf2d6df,/workspace/results_setB/cui2_guaiacol_bidentate_anion_opt_freq.out,2026-04-28T04:07:05Z
cui2_guaiacol_bidentate_anion_smd_sp,cui2_guaiacol_bidentate_anion,CuI2-,guaiacol,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-2657.794869028995,-2657.863678997327,6.1.1,0,2add71bcabb24f599fdc164a102c1450dc001ef24d0b3f231091a328e8a04c2c,1d2a4cc88ded6b43e8be8478f16f63c74e9d66d3b410be52e7ae1c0c5316f96b,/workspace/results_setB/cui2_guaiacol_bidentate_anion_smd_sp.out,2026-04-28T04:08:33Z
cu2i2_h2o_opt_freq,cu2i2_h2o,Cu2I2,h2o,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,,-3952.972105730836,-3952.988815414994,6.1.1,50,d28fa452ab44d8bd6ee74964c13c7ca83307dee9be4ce33c35142aef4d936c54,d28fa452ab44d8bd6ee74964c13c7ca83307dee9be4ce33c35142aef4d936c54,/workspace/results_setC/cu2i2_h2o_opt_freq.out,2026-04-28T15:26:59Z
cu2i2_methanol_opt_freq,cu2i2_methanol,Cu2I2,methanol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,,-3992.256828146892,,6.1.1,50,7aa97c85b5d8412935b5e94a8b3977abd72e30477fa62aba10589ff2e81d3be9,32a37a8fb0b020c4df0094cf20d182f71b6ca375efa1dbd86536e5130974d19d,/workspace/results_setC/cu2i2_methanol_opt_freq.out,2026-04-28T15:49:09Z
cu2i2_methanol_smd_sp,cu2i2_methanol,Cu2I2,methanol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-3992.256828146892,-3992.269030647742,6.1.1,0,6f3eb472e8b72e8069a43122aa109d7c93a508db2dbf9f79affc6b94879beaf6,235e959f8e909a14abc95f69525df24a3d52846379d49ecc3b731f71eac2fbc6,/workspace/results_setC/cu2i2_methanol_smd_sp.out,2026-04-28T15:49:39Z
cu2i2_phenol_O_opt_freq,cu2i2_phenol_O,Cu2I2,phenol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,20,5000,True,0,-5.24,-4183.970326901106,,6.1.1,45,38da5502962117745c70cc58f57c6c1f743d4b89e8d0f1007ea4ad2b12b88366,c978fc936c75d9dcc4beb4ad74894372a111a9dcae17a3e00e3f08503e5c842b,/workspace/results_setC/cu2i2_phenol_O_opt_freq.out,2026-04-28T16:40:22Z
cu2i2_phenol_O_smd_sp,cu2i2_phenol_O,Cu2I2,phenol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,20,5000,True,0,,-4183.970326901106,-4183.984056992081,6.1.1,0,2e657ee4316e78362973c551d40d153399901711fd673c671cc341c056b42ea2,e841e2cd77d2b2268e1f2af99df66abe51dfb2245d3fa50217e92e3829f79958,/workspace/results_setC/cu2i2_phenol_O_smd_sp.out,2026-04-28T16:41:25Z
cu2i2_phenol_pi_opt_freq,cu2i2_phenol_pi,Cu2I2,phenol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,20,5000,True,0,,-4183.970721795778,,6.1.1,51,d1c34ce216cc7eba8a6f83813b415119895890a23e7930e383370c2849f3e9c2,62d9adc200dbc70ba209c46bfeca83fb2912eca588b2c18a607b581ca3904431,/workspace/results_setC/cu2i2_phenol_pi_opt_freq.out,2026-04-28T17:38:56Z
cu2i2_phenol_pi_smd_sp,cu2i2_phenol_pi,Cu2I2,phenol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,20,5000,True,0,,-4183.970721795778,-4183.985488014602,6.1.1,0,3f710f5a563015da6456feea6e82ab7958af147c77e4d327ea2bfeaf2faee067,4eb2d46b01e08e7d8eb1eb862cedd2c84a27cd64e39863571f9abce7f2aada1e,/workspace/results_setC/cu2i2_phenol_pi_smd_sp.out,2026-04-28T17:40:00Z
cu2i2_guaiacol_phenolicO_opt_freq,cu2i2_guaiacol_phenolicO,Cu2I2,guaiacol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-4298.500040076839,,6.1.1,63,7fa92442bef89a9c1b59ba6fbc7fa4706027464bbcac01659760a33c5aa12dfe,8d640b357adb72940e9b12ad13b4aa273025d35a454c7ad6cc0389767f317543,/workspace/results_setC/cu2i2_guaiacol_phenolicO_opt_freq.out,2026-04-28T19:15:57Z
cu2i2_guaiacol_phenolicO_smd_sp,cu2i2_guaiacol_phenolicO,Cu2I2,guaiacol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-4298.500040076839,-4298.511778801048,6.1.1,0,63dfc10266f3daa9e8de7dbf2a4c3e07f86c9507f543bc1fa1ece5553efdf56f,e4cdc25e0d48cc88c717f02ad2508f079a9b430c7653b6812b6b96ff5114a53a,/workspace/results_setC/cu2i2_guaiacol_phenolicO_smd_sp.out,2026-04-28T19:17:32Z
cu2i2_guaiacol_methoxyO_opt_freq,cu2i2_guaiacol_methoxyO,Cu2I2,guaiacol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-4298.187607695567,,6.1.1,63,4945097afdeaad42b7d9dcfbd6f0abcce4bf9db31c74ec2c99ab37f68bbc1f2e,e660704fd0b5fbe59eeb26af29ca6518e06f277972e261a58f74eac5cbfe3d68,/workspace/results_setC/cu2i2_guaiacol_methoxyO_opt_freq.out,2026-04-28T21:09:10Z
cu2i2_guaiacol_methoxyO_smd_sp,cu2i2_guaiacol_methoxyO,Cu2I2,guaiacol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-4298.187607695567,-4298.209858712501,6.1.1,0,6c3ed7695b283fcdf4819ddf7abcbab327cb31003755786131aec5df86012349,4e2fa7b08ce29ff7b2be83890f6beddfcae0fdf32e32d3f3f638191de1135eea,/workspace/results_setC/cu2i2_guaiacol_methoxyO_smd_sp.out,2026-04-28T21:10:38Z
cu2i2_guaiacol_pi_opt_freq,cu2i2_guaiacol_pi,Cu2I2,guaiacol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-4298.487524499883,,6.1.1,63,73cd40fb555cfb7345d1696ccf345a3d685bec9bc6fbd83a53dc6d4f33f5f28d,9a5a4e6e08ae2e403605b0f208db1fed7fd65829cb4b02b14e2d92b2db20beb5,/workspace/results_setC/cu2i2_guaiacol_pi_opt_freq.out,2026-04-28T22:48:49Z
cu2i2_guaiacol_pi_smd_sp,cu2i2_guaiacol_pi,Cu2I2,guaiacol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-4298.487524499883,-4298.501745741061,6.1.1,0,e66a805bf846c23236bee13ca32587ed0f04bbda312d42680f34526bd1d0418e,8f7aa051fe1737b4c33bc363a808254533b9d256cc42a226bf7b94bb1d58edda,/workspace/results_setC/cu2i2_guaiacol_pi_smd_sp.out,2026-04-28T22:50:28Z
cu2i2_guaiacol_bidentate_opt_freq,cu2i2_guaiacol_bidentate,Cu2I2,guaiacol,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,5000,True,0,,-4298.491236144005,,6.1.1,63,f3aedf5ed0f5ebae9af695ba8053ab1d4647ba497532cbe11fc1159fbf2933bc,23244e8eea000e4089cb590fb9edab4283870116d5d4b7b629772fa3607da557,/workspace/results_setC/cu2i2_guaiacol_bidentate_opt_freq.out,2026-04-29T00:22:55Z
cu2i2_guaiacol_bidentate_smd_sp,cu2i2_guaiacol_bidentate,Cu2I2,guaiacol,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,5000,True,0,,-4298.491236144005,-4298.505632855098,6.1.1,0,4e92c842fbc2da3afe4dcc8a2d41d4708a7577c36323ed6137794092e9c4c30b,326a87c53847b916ba569a7b8a8b7a2f6dcac7a7da2f644c2523f63df3808dc0,/workspace/results_setC/cu2i2_guaiacol_bidentate_smd_sp.out,2026-04-29T00:24:27Z
