job_id,mol_id,job_type,orca_version,route_line,charge,mult,inp_path,inp_sha256,out_path,out_sha256,xyz_path,xyz_sha256,gbw_path,hess_path,normal_termination,timestamp_utc
cui2_guaiacol_methoxyO_anion_smd_sp,cui2_guaiacol_methoxyO_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.inp,2567d5d065ed1c25d1f6d2354cd16f2305b882de75487b158e0568cb4c458a1a,/workspace/results_setB/cui2_guaiacol_methoxyO_anion_smd_sp.out,16bb8b85b0f61d16980d3c1358fe6b09cb00d341b2312db3fbacdec831abcc69,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_methoxyO_anion_smd_sp.hess,True,2026-04-28T01:07:39Z
cui2_guaiacol_pi_anion_opt_freq,cui2_guaiacol_pi_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_opt_freq.inp,aa070b56c6552afbaeeaa5bd74bae044cecb066ef57b1efd912d761c75c6cabe,/workspace/results_setB/cui2_guaiacol_pi_anion_opt_freq.out,6776ff6e26a359213e9fa2f5e010d205be69eb330537ae3faa0c58d60653acde,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_opt_freq.xyz,795b7a984e4c063f9ea8e93f027d9ff35aaa6fee13ca4066a8e8f93037c751e9,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_opt_freq.hess,True,2026-04-28T02:29:25Z
cui2_guaiacol_pi_anion_smd_sp,cui2_guaiacol_pi_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_smd_sp.inp,a5327a66dd2c0145af82c75aa53811561ac979b6c4dde8b02c7209f771cdbee9,/workspace/results_setB/cui2_guaiacol_pi_anion_smd_sp.out,e9d4ba078eec2b85a4aca3e565af440a307a1f0da2b84ce2b1db8497930d7cb3,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_pi_anion_smd_sp.hess,True,2026-04-28T02:30:42Z
cui2_guaiacol_bidentate_anion_opt_freq,cui2_guaiacol_bidentate_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_opt_freq.inp,08aec93429f17804dfeef7e47107e60c9fec20547001bb7153859f918332d09c,/workspace/results_setB/cui2_guaiacol_bidentate_anion_opt_freq.out,f40b2a349fad9f5ce72441e87f14c65daa8bb4aef17f97a1176338587bf2d6df,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_opt_freq.xyz,61deabbfca28d7d0015cc88c8c75e09ca4e9e78fed21db10f1f8aebb7c46848a,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_opt_freq.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_opt_freq.hess,True,2026-04-28T04:07:05Z
cui2_guaiacol_bidentate_anion_smd_sp,cui2_guaiacol_bidentate_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_smd_sp.inp,2add71bcabb24f599fdc164a102c1450dc001ef24d0b3f231091a328e8a04c2c,/workspace/results_setB/cui2_guaiacol_bidentate_anion_smd_sp.out,1d2a4cc88ded6b43e8be8478f16f63c74e9d66d3b410be52e7ae1c0c5316f96b,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_smd_sp.xyz,,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_smd_sp.gbw,/root/orca_calc_setB/calc/cui2_guaiacol_bidentate_anion_smd_sp.hess,True,2026-04-28T04:08:33Z
cu2i2_h2o_opt_freq,cu2i2_h2o,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/workspace/results_setA/cu2i2_h2o_reopt1_opt_freq.out,d28fa452ab44d8bd6ee74964c13c7ca83307dee9be4ce33c35142aef4d936c54,/workspace/results_setC/cu2i2_h2o_opt_freq.out,d28fa452ab44d8bd6ee74964c13c7ca83307dee9be4ce33c35142aef4d936c54,/root/orca_calc_setC/calc/cu2i2_h2o_reopt1_opt_freq.xyz,,/root/orca_calc_setC/calc/cu2i2_h2o_reopt1_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_h2o_reopt1_opt_freq.hess,True,2026-04-28T15:26:59Z
cu2i2_methanol_opt_freq,cu2i2_methanol,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_methanol_opt_freq.inp,7aa97c85b5d8412935b5e94a8b3977abd72e30477fa62aba10589ff2e81d3be9,/workspace/results_setC/cu2i2_methanol_opt_freq.out,32a37a8fb0b020c4df0094cf20d182f71b6ca375efa1dbd86536e5130974d19d,/root/orca_calc_setC/calc/cu2i2_methanol_opt_freq.xyz,34ad01b1c244f41994d45c10265b1638451fda82183a1b66b2445a5d69c6e978,/root/orca_calc_setC/calc/cu2i2_methanol_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_methanol_opt_freq.hess,True,2026-04-28T15:49:09Z
cu2i2_methanol_smd_sp,cu2i2_methanol,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_methanol_smd_sp.inp,6f3eb472e8b72e8069a43122aa109d7c93a508db2dbf9f79affc6b94879beaf6,/workspace/results_setC/cu2i2_methanol_smd_sp.out,235e959f8e909a14abc95f69525df24a3d52846379d49ecc3b731f71eac2fbc6,/root/orca_calc_setC/calc/cu2i2_methanol_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_methanol_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_methanol_smd_sp.hess,True,2026-04-28T15:49:39Z
cu2i2_phenol_O_opt_freq,cu2i2_phenol_O,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_phenol_O_opt_freq.inp,38da5502962117745c70cc58f57c6c1f743d4b89e8d0f1007ea4ad2b12b88366,/workspace/results_setC/cu2i2_phenol_O_opt_freq.out,c978fc936c75d9dcc4beb4ad74894372a111a9dcae17a3e00e3f08503e5c842b,/root/orca_calc_setC/calc/cu2i2_phenol_O_opt_freq.xyz,19ff8179f4fcbc93d54b57a3c6fe7489197ddf47675f18bab391b84e2b2619ea,/root/orca_calc_setC/calc/cu2i2_phenol_O_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_phenol_O_opt_freq.hess,True,2026-04-28T16:40:22Z
cu2i2_phenol_O_smd_sp,cu2i2_phenol_O,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_phenol_O_smd_sp.inp,2e657ee4316e78362973c551d40d153399901711fd673c671cc341c056b42ea2,/workspace/results_setC/cu2i2_phenol_O_smd_sp.out,e841e2cd77d2b2268e1f2af99df66abe51dfb2245d3fa50217e92e3829f79958,/root/orca_calc_setC/calc/cu2i2_phenol_O_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_phenol_O_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_phenol_O_smd_sp.hess,True,2026-04-28T16:41:25Z
cu2i2_phenol_pi_opt_freq,cu2i2_phenol_pi,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_phenol_pi_opt_freq.inp,d1c34ce216cc7eba8a6f83813b415119895890a23e7930e383370c2849f3e9c2,/workspace/results_setC/cu2i2_phenol_pi_opt_freq.out,62d9adc200dbc70ba209c46bfeca83fb2912eca588b2c18a607b581ca3904431,/root/orca_calc_setC/calc/cu2i2_phenol_pi_opt_freq.xyz,f3a180803320f8e8e31d7955d6e5ff1e45bc8033b150b6d82291afec1eb098b6,/root/orca_calc_setC/calc/cu2i2_phenol_pi_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_phenol_pi_opt_freq.hess,True,2026-04-28T17:38:56Z
cu2i2_phenol_pi_smd_sp,cu2i2_phenol_pi,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_phenol_pi_smd_sp.inp,3f710f5a563015da6456feea6e82ab7958af147c77e4d327ea2bfeaf2faee067,/workspace/results_setC/cu2i2_phenol_pi_smd_sp.out,4eb2d46b01e08e7d8eb1eb862cedd2c84a27cd64e39863571f9abce7f2aada1e,/root/orca_calc_setC/calc/cu2i2_phenol_pi_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_phenol_pi_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_phenol_pi_smd_sp.hess,True,2026-04-28T17:40:00Z
cu2i2_guaiacol_phenolicO_opt_freq,cu2i2_guaiacol_phenolicO,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_opt_freq.inp,7fa92442bef89a9c1b59ba6fbc7fa4706027464bbcac01659760a33c5aa12dfe,/workspace/results_setC/cu2i2_guaiacol_phenolicO_opt_freq.out,8d640b357adb72940e9b12ad13b4aa273025d35a454c7ad6cc0389767f317543,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_opt_freq.xyz,f7147f827f3eeae51fb99e6cfd15e5e834f78fced970efdd71889f926aa93cb6,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_opt_freq.hess,True,2026-04-28T19:15:57Z
cu2i2_guaiacol_phenolicO_smd_sp,cu2i2_guaiacol_phenolicO,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_smd_sp.inp,63dfc10266f3daa9e8de7dbf2a4c3e07f86c9507f543bc1fa1ece5553efdf56f,/workspace/results_setC/cu2i2_guaiacol_phenolicO_smd_sp.out,e4cdc25e0d48cc88c717f02ad2508f079a9b430c7653b6812b6b96ff5114a53a,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_phenolicO_smd_sp.hess,True,2026-04-28T19:17:32Z
cu2i2_guaiacol_methoxyO_opt_freq,cu2i2_guaiacol_methoxyO,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_opt_freq.inp,4945097afdeaad42b7d9dcfbd6f0abcce4bf9db31c74ec2c99ab37f68bbc1f2e,/workspace/results_setC/cu2i2_guaiacol_methoxyO_opt_freq.out,e660704fd0b5fbe59eeb26af29ca6518e06f277972e261a58f74eac5cbfe3d68,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_opt_freq.xyz,044fdc326da575089aa2cd739b1fd01f98786b8a62726d232b7a1b1631c35b68,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_opt_freq.hess,True,2026-04-28T21:09:10Z
cu2i2_guaiacol_methoxyO_smd_sp,cu2i2_guaiacol_methoxyO,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_smd_sp.inp,6c3ed7695b283fcdf4819ddf7abcbab327cb31003755786131aec5df86012349,/workspace/results_setC/cu2i2_guaiacol_methoxyO_smd_sp.out,4e2fa7b08ce29ff7b2be83890f6beddfcae0fdf32e32d3f3f638191de1135eea,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_methoxyO_smd_sp.hess,True,2026-04-28T21:10:38Z
cu2i2_guaiacol_pi_opt_freq,cu2i2_guaiacol_pi,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_opt_freq.inp,73cd40fb555cfb7345d1696ccf345a3d685bec9bc6fbd83a53dc6d4f33f5f28d,/workspace/results_setC/cu2i2_guaiacol_pi_opt_freq.out,9a5a4e6e08ae2e403605b0f208db1fed7fd65829cb4b02b14e2d92b2db20beb5,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_opt_freq.xyz,b246e3dcde49c02e56ca56c12054abe02699c94d2c3a29f8d84fd0cdf13377bc,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_opt_freq.hess,True,2026-04-28T22:48:49Z
cu2i2_guaiacol_pi_smd_sp,cu2i2_guaiacol_pi,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_smd_sp.inp,e66a805bf846c23236bee13ca32587ed0f04bbda312d42680f34526bd1d0418e,/workspace/results_setC/cu2i2_guaiacol_pi_smd_sp.out,8f7aa051fe1737b4c33bc363a808254533b9d256cc42a226bf7b94bb1d58edda,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_pi_smd_sp.hess,True,2026-04-28T22:50:28Z
cu2i2_guaiacol_bidentate_opt_freq,cu2i2_guaiacol_bidentate,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_opt_freq.inp,f3aedf5ed0f5ebae9af695ba8053ab1d4647ba497532cbe11fc1159fbf2933bc,/workspace/results_setC/cu2i2_guaiacol_bidentate_opt_freq.out,23244e8eea000e4089cb590fb9edab4283870116d5d4b7b629772fa3607da557,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_opt_freq.xyz,60d377acc263478332453d7bbb747621a6720c9c9cc303e0b5d10256ea3cdc4a,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_opt_freq.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_opt_freq.hess,True,2026-04-29T00:22:55Z
cu2i2_guaiacol_bidentate_smd_sp,cu2i2_guaiacol_bidentate,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_smd_sp.inp,4e92c842fbc2da3afe4dcc8a2d41d4708a7577c36323ed6137794092e9c4c30b,/workspace/results_setC/cu2i2_guaiacol_bidentate_smd_sp.out,326a87c53847b916ba569a7b8a8b7a2f6dcac7a7da2f644c2523f63df3808dc0,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_smd_sp.xyz,,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_smd_sp.gbw,/root/orca_calc_setC/calc/cu2i2_guaiacol_bidentate_smd_sp.hess,True,2026-04-29T00:24:27Z
